Medication,Common route(s),Typical adult dose / range,Typical frequency,Peds (Neonate 0–28d) dose; freq,Peds (Infant 1–12mo) dose; freq,Peds (Child 1–12y) dose; freq,Peds (Adolescent 12–18y) dose; freq,Renal adjustment (adult/peds),Hepatic adjustment (adult/peds),IV Fluid options,Standard rates (mL/h 10–200),Weight-based maintenance (adult),Peds maintenance (4-2-1 rule),Weight (kg) – enter to auto-calc,Adult maint mL/h @1.0 mL/kg/h,Adult maint mL/h @1.5 mL/kg/h,Adult maint mL/h @2.0 mL/kg/h,Peds 4-2-1 mL/h (auto),Sepsis bolus mL @30 mL/kg
Varenicline,PO,0.5 mg daily ×3 then 0.5 mg BID ×4 then 1 mg BID,BID,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Benzonatate,PO,100–200 mg TID PRN,TID PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Codeine-guaifenesin,PO,5–10 mL q4–6h PRN,q4–6h PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Montelukast (night),PO,10 mg HS,HS,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Ipratropium-albuterol MDI,INH,1 puff q6h,q6h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Revefenacin (neb),INH,175 mcg neb q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Arformoterol (neb),INH,15 mcg neb q12h,q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Glycopyrrolate (neb),INH,25 mcg neb q12h,q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Sodium bicarbonate infusion,IV,"D5W + NaHCO3 per protocol (e.g., 150 mEq/L)",Continuous,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Hypertonic saline 3% (IV),IV,30–100 mL/h or bolus 2–3 mL/kg,Continuous/bolus,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Mannitol (ICP),IV,0.25–1 g/kg q6–8h PRN,q6–8h PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
N-acetylcysteine (PO),PO,140 mg/kg load then 70 mg/kg q4h ×17,q4h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Thiamine (high-dose),IV,200–500 mg IV TID (Wernicke),TID,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Folic acid (high-risk),"IV, PO",1–5 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Pyridoxine (B6),"IV, PO","50–100 mg q24h (INH tox, hyperemesis)",q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Cyanocobalamin (defic.),IM,"1,000 mcg IM daily ×1wk, weekly ×1mo, monthly",Varies,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Iron sucrose (IV),IV,200 mg IV on 5 doses (or per protocol),Intermittent,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Ferric carboxymaltose (IV),IV,750 mg IV ×2 doses 7+ days apart,Intermittent,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Sodium phosphate enema,PR,1 enema PR PRN,PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
SMOG enema,PR,Per protocol once PRN,PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Lubiprostone,PO,24 mcg BID,BID,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Prucalopride,PO,2 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Diphenhydramine (sleep),PO,25–50 mg HS PRN,HS PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Doxepin (sleep),PO,3–6 mg HS,HS,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Quetiapine (sleep),PO,25–50 mg HS PRN,HS PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Clonidine (sleep),PO,0.1 mg HS PRN,HS PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Haloperidol (delirium),IV,0.5–2 mg IV q4–6h PRN,q4–6h PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Olanzapine ODT,PO,5–10 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
